timestamp,query,user_profile,retrieved_products,final_product,score
2026-06-08T19:22:32.514004,gaming laptop under 90000,gaming,"[""Lenovo LOQ Gaming Laptop"", ""HP Pavilion Gaming Laptop"", ""ASUS Zephyrus Deep Learning Laptop"", ""ASUS VivoBook 15"", ""Dell UltraSharp Monitor""]",Lenovo LOQ Gaming Laptop,0.7885
2026-06-08T19:22:32.556992,deep learning workstation,ai_student,"[""ASUS Zephyrus Deep Learning Laptop"", ""Lenovo LOQ Gaming Laptop"", ""Dell UltraSharp Monitor"", ""Sony Wireless Earbuds"", ""Logitech Mechanical Keyboard""]",ASUS Zephyrus Deep Learning Laptop,0.6764
2026-06-08T19:22:32.598360,wireless gaming mouse,gaming,"[""Lenovo LOQ Gaming Laptop"", ""ASUS Zephyrus Deep Learning Laptop"", ""Sony Wireless Earbuds"", ""Logitech Mechanical Keyboard"", ""Dell UltraSharp Monitor""]",Lenovo LOQ Gaming Laptop,0.6409
2026-06-08T19:22:32.636089,budget mechanical keyboard,general,"[""Logitech Mechanical Keyboard"", ""ASUS Zephyrus Deep Learning Laptop"", ""Lenovo LOQ Gaming Laptop"", ""Sony Wireless Earbuds"", ""Dell UltraSharp Monitor""]",Logitech Mechanical Keyboard,0.5607
2026-06-08T19:22:32.683009,monitor for coding,general,"[""ASUS Zephyrus Deep Learning Laptop"", ""Dell UltraSharp Monitor"", ""Lenovo LOQ Gaming Laptop"", ""Sony Wireless Earbuds"", ""Logitech Mechanical Keyboard""]",ASUS Zephyrus Deep Learning Laptop,0.5262
2026-06-10T01:47:22.451879,gaming laptop under 90000,gaming,"["""", """", """", """", """"]",,0.6696
2026-06-10T01:47:22.486700,deep learning workstation,ai_student,"["""", """", """", """", """"]",,0.5820
2026-06-10T01:47:22.526642,wireless gaming mouse,gaming,"["""", """", """", """", """"]",,0.6407
2026-06-10T01:47:22.567845,budget mechanical keyboard,general,"["""", """", """", """", """"]",,0.5436
2026-06-10T01:47:22.602539,monitor for coding,general,"["""", """", """", """", """"]",,0.5133
2026-06-10T10:30:51.383303,gaming laptop under 90000,gaming,"[""Logitech C920 HD Pro Webcam - 1080p, Optical, Full HD Streaming Camera for Widescreen Video Calling and Recording, Dual Mi..."", ""TP-Link 5 Port 10/100 Mbps Fast Ethernet Switch | Desktop Ethernet Splitter | Ethernet Hub | Plug & Play | Fanless Quiet |..."", ""BlueRigger in-Wall High Speed 18Gbps HDMI Cable - CL3 Rated - Supports 4K 60Hz, Ultra HD, 3D, 1080p, Ethernet and Audio Re..."", ""BlueRigger High Speed HDMI Cable with Ethernet - Supports 3D, 4K 60Hz, Audio Return - Latest Version (6.6 Feet / 2 Meters)"", ""Noctua NT-H1 3.5g, Pro-Grade Thermal Compound Paste.""]","Logitech C920 HD Pro Webcam - 1080p, Optical, Full HD Streaming Camera for Widescreen Video Calling and Recording, Dual Mi...",0.7015
2026-06-10T10:30:51.420660,deep learning workstation,ai_student,"[""Logitech C920 HD Pro Webcam - 1080p, Optical, Full HD Streaming Camera for Widescreen Video Calling and Recording, Dual Mi..."", ""TP-Link 5 Port 10/100 Mbps Fast Ethernet Switch | Desktop Ethernet Splitter | Ethernet Hub | Plug & Play | Fanless Quiet |..."", ""BlueRigger in-Wall High Speed 10.2Gbps HDMI Cable - CL3 Rated - Supports 4K 30Hz, Ultra HD, 3D, 1080p, Ethernet and Audio ..."", ""BlueRigger in-Wall High Speed 18Gbps HDMI Cable - CL3 Rated - Supports 4K 60Hz, Ultra HD, 3D, 1080p, Ethernet and Audio Re..."", ""Noctua NT-H1 3.5g, Pro-Grade Thermal Compound Paste.""]","Logitech C920 HD Pro Webcam - 1080p, Optical, Full HD Streaming Camera for Widescreen Video Calling and Recording, Dual Mi...",0.5968
2026-06-10T10:30:51.453508,wireless gaming mouse,gaming,"[""Logitech B100 Wired USB Mouse, 3 yr Warranty, 800 DPI Optical Tracking, Ambidextrous PC/Mac/Laptop - Black"", ""Logitech C920 HD Pro Webcam - 1080p, Optical, Full HD Streaming Camera for Widescreen Video Calling and Recording, Dual Mi..."", ""Sony MDR-7506 Professional Wired On Ear Headphones with Mic (Black) (Best Compatible with Professional Cinema Line Camera)"", ""TP-Link 5 Port 10/100 Mbps Fast Ethernet Switch | Desktop Ethernet Splitter | Ethernet Hub | Plug & Play | Fanless Quiet |..."", ""BlueRigger Braided High Speed HDMI cable with Ethernet - Supports 3D, 4K and Audio Return [Latest Version] (6 Feet / 1.8 M...""]","Logitech B100 Wired USB Mouse, 3 yr Warranty, 800 DPI Optical Tracking, Ambidextrous PC/Mac/Laptop - Black",0.6329
2026-06-10T10:30:51.486529,budget mechanical keyboard,general,"[""Logitech C920 HD Pro Webcam - 1080p, Optical, Full HD Streaming Camera for Widescreen Video Calling and Recording, Dual Mi..."", ""Noctua NT-H1 3.5g, Pro-Grade Thermal Compound Paste."", ""BlueRigger Braided High Speed HDMI cable with Ethernet - Supports 3D, 4K and Audio Return [Latest Version] (6 Feet / 1.8 M..."", ""Case Logic DCB-304"", ""BlueRigger in-Wall High Speed 10.2Gbps HDMI Cable - CL3 Rated - Supports 4K 30Hz, Ultra HD, 3D, 1080p, Ethernet and Audio ...""]","Logitech C920 HD Pro Webcam - 1080p, Optical, Full HD Streaming Camera for Widescreen Video Calling and Recording, Dual Mi...",0.6007
2026-06-10T10:30:51.521264,monitor for coding,general,"[""Logitech C920 HD Pro Webcam - 1080p, Optical, Full HD Streaming Camera for Widescreen Video Calling and Recording, Dual Mi..."", ""BlueRigger in-Wall High Speed 10.2Gbps HDMI Cable - CL3 Rated - Supports 4K 30Hz, Ultra HD, 3D, 1080p, Ethernet and Audio ..."", ""BlueRigger in-Wall High Speed 18Gbps HDMI Cable - CL3 Rated - Supports 4K 60Hz, Ultra HD, 3D, 1080p, Ethernet and Audio Re..."", ""BlueRigger Braided High Speed HDMI cable with Ethernet - Supports 3D, 4K and Audio Return [Latest Version] (6 Feet / 1.8 M..."", ""BlueRigger Digital Optical Audio Toslink Cable (25 Feet / 7.5 Meter) With 8 Channel (7.1) Audio Support (for Home Theatre,...""]","Logitech C920 HD Pro Webcam - 1080p, Optical, Full HD Streaming Camera for Widescreen Video Calling and Recording, Dual Mi...",0.6085
2026-06-10T18:17:56.573964,Need laptop for AI under 90k,student,"[""Lenovo LOQ Gaming Laptop"", ""ASUS Zephyrus Deep Learning Laptop"", ""ASUS VivoBook 15"", ""HP Pavilion Gaming Laptop"", ""Dell Inspiron Business Laptop""]",Lenovo LOQ Gaming Laptop,0.4888
2026-06-10T18:18:25.855142,Need laptop for AI under 90k,gaming,"[""Lenovo LOQ Gaming Laptop"", ""ASUS Zephyrus Deep Learning Laptop"", ""HP Pavilion Gaming Laptop"", ""ASUS VivoBook 15"", ""Dell Inspiron Business Laptop""]",Lenovo LOQ Gaming Laptop,0.5888
2026-06-10T18:18:33.693418,Need laptop for AI under 80k,gaming,"[""Lenovo LOQ Gaming Laptop"", ""ASUS Zephyrus Deep Learning Laptop"", ""HP Pavilion Gaming Laptop"", ""ASUS VivoBook 15"", ""Dell Inspiron Business Laptop""]",Lenovo LOQ Gaming Laptop,0.5936
2026-06-10T18:18:35.324462,Need laptop for AI under 80k,gaming,"[""Lenovo LOQ Gaming Laptop"", ""ASUS Zephyrus Deep Learning Laptop"", ""HP Pavilion Gaming Laptop"", ""ASUS VivoBook 15"", ""Dell Inspiron Business Laptop""]",Lenovo LOQ Gaming Laptop,0.5936
2026-06-10T18:18:38.554457,Need laptop for AI under 80k,student,"[""Lenovo LOQ Gaming Laptop"", ""ASUS Zephyrus Deep Learning Laptop"", ""ASUS VivoBook 15"", ""HP Pavilion Gaming Laptop"", ""Dell Inspiron Business Laptop""]",Lenovo LOQ Gaming Laptop,0.4936
2026-06-10T18:18:41.341277,Need laptop for AI under 80k,ai_student,"[""ASUS Zephyrus Deep Learning Laptop"", ""Lenovo LOQ Gaming Laptop"", ""HP Pavilion Gaming Laptop"", ""Dell Inspiron Business Laptop"", ""ASUS VivoBook 15""]",ASUS Zephyrus Deep Learning Laptop,0.5805
2026-06-10T18:18:48.547896,Need laptop for AI under 90k,ai_student,"[""ASUS Zephyrus Deep Learning Laptop"", ""Lenovo LOQ Gaming Laptop"", ""HP Pavilion Gaming Laptop"", ""Dell Inspiron Business Laptop"", ""ASUS VivoBook 15""]",ASUS Zephyrus Deep Learning Laptop,0.5784
2026-06-10T18:21:37.747019,gaming laptop under 90000,gaming,"[""TP-Link 5 Port 10/100 Mbps Fast Ethernet Switch | Desktop Ethernet Splitter | Ethernet Hub | Plug & Play | Fanless Quiet |..."", ""Logitech C920 HD Pro Webcam - 1080p, Optical, Full HD Streaming Camera for Widescreen Video Calling and Recording, Dual Mi..."", ""BlueRigger in-Wall High Speed 18Gbps HDMI Cable - CL3 Rated - Supports 4K 60Hz, Ultra HD, 3D, 1080p, Ethernet and Audio Re..."", ""BlueRigger High Speed HDMI Cable with Ethernet - Supports 3D, 4K 60Hz, Audio Return - Latest Version (6.6 Feet / 2 Meters)"", ""Noctua NT-H1 3.5g, Pro-Grade Thermal Compound Paste.""]",TP-Link 5 Port 10/100 Mbps Fast Ethernet Switch | Desktop Ethernet Splitter | Ethernet Hub | Plug & Play | Fanless Quiet |...,0.7370
2026-06-10T18:21:37.789988,deep learning workstation,ai_student,"[""Logitech C920 HD Pro Webcam - 1080p, Optical, Full HD Streaming Camera for Widescreen Video Calling and Recording, Dual Mi..."", ""TP-Link 5 Port 10/100 Mbps Fast Ethernet Switch | Desktop Ethernet Splitter | Ethernet Hub | Plug & Play | Fanless Quiet |..."", ""BlueRigger in-Wall High Speed 10.2Gbps HDMI Cable - CL3 Rated - Supports 4K 30Hz, Ultra HD, 3D, 1080p, Ethernet and Audio ..."", ""BlueRigger in-Wall High Speed 18Gbps HDMI Cable - CL3 Rated - Supports 4K 60Hz, Ultra HD, 3D, 1080p, Ethernet and Audio Re..."", ""Noctua NT-H1 3.5g, Pro-Grade Thermal Compound Paste.""]","Logitech C920 HD Pro Webcam - 1080p, Optical, Full HD Streaming Camera for Widescreen Video Calling and Recording, Dual Mi...",0.5968
2026-06-10T18:21:37.834413,wireless gaming mouse,gaming,"[""TP-Link 5 Port 10/100 Mbps Fast Ethernet Switch | Desktop Ethernet Splitter | Ethernet Hub | Plug & Play | Fanless Quiet |..."", ""Logitech B100 Wired USB Mouse, 3 yr Warranty, 800 DPI Optical Tracking, Ambidextrous PC/Mac/Laptop - Black"", ""Logitech C920 HD Pro Webcam - 1080p, Optical, Full HD Streaming Camera for Widescreen Video Calling and Recording, Dual Mi..."", ""Sony MDR-7506 Professional Wired On Ear Headphones with Mic (Black) (Best Compatible with Professional Cinema Line Camera)"", ""BlueRigger Braided High Speed HDMI cable with Ethernet - Supports 3D, 4K and Audio Return [Latest Version] (6 Feet / 1.8 M...""]",TP-Link 5 Port 10/100 Mbps Fast Ethernet Switch | Desktop Ethernet Splitter | Ethernet Hub | Plug & Play | Fanless Quiet |...,0.6512
2026-06-10T18:21:37.870062,budget mechanical keyboard,general,"[""Logitech C920 HD Pro Webcam - 1080p, Optical, Full HD Streaming Camera for Widescreen Video Calling and Recording, Dual Mi..."", ""Noctua NT-H1 3.5g, Pro-Grade Thermal Compound Paste."", ""BlueRigger Braided High Speed HDMI cable with Ethernet - Supports 3D, 4K and Audio Return [Latest Version] (6 Feet / 1.8 M..."", ""Case Logic DCB-304"", ""BlueRigger in-Wall High Speed 10.2Gbps HDMI Cable - CL3 Rated - Supports 4K 30Hz, Ultra HD, 3D, 1080p, Ethernet and Audio ...""]","Logitech C920 HD Pro Webcam - 1080p, Optical, Full HD Streaming Camera for Widescreen Video Calling and Recording, Dual Mi...",0.6007
2026-06-10T18:21:37.913955,monitor for coding,general,"[""Logitech C920 HD Pro Webcam - 1080p, Optical, Full HD Streaming Camera for Widescreen Video Calling and Recording, Dual Mi..."", ""BlueRigger in-Wall High Speed 10.2Gbps HDMI Cable - CL3 Rated - Supports 4K 30Hz, Ultra HD, 3D, 1080p, Ethernet and Audio ..."", ""BlueRigger in-Wall High Speed 18Gbps HDMI Cable - CL3 Rated - Supports 4K 60Hz, Ultra HD, 3D, 1080p, Ethernet and Audio Re..."", ""BlueRigger Braided High Speed HDMI cable with Ethernet - Supports 3D, 4K and Audio Return [Latest Version] (6 Feet / 1.8 M..."", ""BlueRigger Digital Optical Audio Toslink Cable (25 Feet / 7.5 Meter) With 8 Channel (7.1) Audio Support (for Home Theatre,...""]","Logitech C920 HD Pro Webcam - 1080p, Optical, Full HD Streaming Camera for Widescreen Video Calling and Recording, Dual Mi...",0.6085
2026-06-10T18:27:53.101971,Need laptop for AI under 90k,ai_student,"[""ASUS Zephyrus Deep Learning Laptop"", ""Lenovo LOQ Gaming Laptop"", ""HP Pavilion Gaming Laptop"", ""Dell Inspiron Business Laptop"", ""ASUS VivoBook 15""]",ASUS Zephyrus Deep Learning Laptop,0.5784
2026-06-10T18:39:58.964816,Need laptop for AI under 90k,ai_student,"[""ASUS Zephyrus Deep Learning Laptop"", ""Lenovo LOQ Gaming Laptop"", ""HP Pavilion Gaming Laptop"", ""Dell Inspiron Business Laptop"", ""ASUS VivoBook 15""]",ASUS Zephyrus Deep Learning Laptop,0.5784
2026-06-10T18:43:09.734597,Need laptop for AI under 90k,ai_student,"[""ASUS Zephyrus Deep Learning Laptop"", ""Lenovo LOQ Gaming Laptop"", ""HP Pavilion Gaming Laptop"", ""Dell Inspiron Business Laptop"", ""ASUS VivoBook 15""]",ASUS Zephyrus Deep Learning Laptop,0.5784
